Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cote d'Ivoire,32828468002.037888,33952537963.039795,34641359038.24748,35394216902.70404,36443284889.9111,39858773327.598656,43725798491.67258,48771606524.681015,51423528838.85584,52756702600.15259,53808532299.14767,53835657714.75752,53181796089.561226,51668488436.698944,54745318863.3538,57024434641.283264,60439079764.997536,62756146525.121124,67018749389.815926,69878688708.46564,75561321721.15666,72988975597.13745,76678492637.11984,85419539319.72794,97828400548.51875,108068702923.22566,112609566975.10979,118051344947.09152,129200001644.70973,139706406985.14713,144159087211.15964,160692175294.03357
Cameroon,23023129075.968662,22895204382.706646,22691038874.43542,21386362251.657158,22253004111.492683,23377133850.103096,24808566398.878967,26378902879.245647,27936380679.925476,29608124920.03713,31439325481.83208,33537786363.012016,35585380265.67862,38266516762.41947,42063508484.33903,44349226456.200096,47459310893.3723,50851260981.20273,53302407406.64379,55027666865.61175,57303422194.331314,60470659955.362656,63568300988.489845,69098828117.5587,75134546784.6375,79112640283.08144,84392895095.8137,90037541682.20088,95835079519.19434,100939193008.36577,102658266354.3091,110652111633.39653
"Congo, Dem. Rep.",30520924083.99163,28895968774.84601,26451258849.723774,23431061207.577164,22998089277.116875,23644698458.59992,23831269615.30978,22880526501.01288,22762256754.748528,22097352046.817223,21036248250.454994,21058433800.705376,22017063914.48159,23703902475.324883,25980346436.15514,28438960867.96673,30876391893.463646,33695767227.816677,36480127903.49424,37762155754.64662,40932360957.32998,44655249523.12559,46214046396.404205,53767800424.567406,62684684446.43721,69035657196.80653,75926663565.32925,86267287184.00168,93469914844.13051,99313346531.6708,102254584151.85115,112587345048.21474
"Congo, Rep.",8180638703.939836,8659871532.462942,9088568282.709496,9212848506.831495,8892706399.441885,9441012303.927843,10026355705.603947,10135527148.836931,10632690289.976017,10504103233.16811,11555896475.572681,12265570086.658382,13027484159.39247,13392633332.501358,14230257724.0694,15814767038.299316,17604720849.464493,16884650233.033846,18293718363.555866,20553510906.15138,22866276258.179283,23856263885.59265,28575641891.04198,28055516787.260674,28095573770.91061,22531030873.93377,19126833369.627563,21642080499.85274,21094288919.123802,21452949925.868565,20356857918.510845,20460664009.153656
Colombia,165734739659.99506,174769037689.1132,185982254230.77707,200643983045.2397,216844486441.93997,232909254683.55533,242049695981.4431,254669871951.6971,259003666334.27625,251611632162.07648,264838033611.44562,275348535954.9941,286642058521.08215,303752302607.372,328540283192.1714,355204634350.44434,390759574601.50836,428361675889.21747,450912148600.43134,458974043023.6943,485367194049.5232,529875186711.48083,553768023392.024,591783692551.8802,625019201607.325,630399533935.3761,665398390495.0111,693117074956.624,747103674534.628,788974839859.9362,756550625053.3091,866075745684.7708
Comoros,652487293.1360317,638156433.0123342,708381116.6876256,746971274.317412,722664523.0737469,764454836.5270803,768396583.7913659,813148632.5572855,832847028.3811622,860837025.389184,975837880.4738959,1021101327.6542025,1061125551.226526,1104833237.8576934,1156269846.907628,1226367000.249505,1297670582.6185937,1343402963.0909486,1423450740.3394156,1479000437.9425707,1553319607.204784,1651292301.2922885,1817991275.6234393,1954973713.1864643,2063131653.8417702,2106508753.2187178,2278472094.497486,2467927827.4933853,2618927512.7181487,2712711222.449207,2737360357.7701154,2918046212.200835
Cabo Verde,359035511.7032642,376389110.1009323,427072977.8847249,475268451.8028711,578533337.1887444,674607712.3994304,764905599.5303822,864607885.1383331,983782885.137008,1109609055.8256567,1296845009.5956972,1355655438.9443972,1449077172.1307333,1539387736.9358613,1741897452.4255173,1920704002.3857572,2138044694.5329525,2528947819.181663,2748865273.950778,2731338121.641806,2804707585.2783275,2976609859.536464,2939948400.208968,2964468795.094372,2979100325.6128016,3145505183.220117,3358352135.316069,3570702548.6782656,3821666610.859909,4110502361.8865514,3545047473.7257643,3949066550.612531
Costa Rica,15671512276.924416,16568555218.003735,18505369444.517616,20288502128.952126,21658169268.731525,23030854949.910374,23769259601.413925,25503234173.86334,27635655742.559967,29206311772.95552,31023503202.07133,32829932494.932117,34480838464.010315,36679330868.0212,39330432922.470116,42176851747.80528,46663772698.62054,51861965169.20728,55361083077.469826,55229268522.83206,58889066523.55503,62759466862.017235,67139321098.58899,71159735248.3123,77049117295.31233,82852849095.46764,93454856085.20317,100716906502.7771,106583345257.89786,114238631925.99237,113312462965.09814,120187712024.2318
Caribbean small states,36929540080.87572,39012775088.74811,41176285078.941315,43551198678.983185,45761990284.81796,48076893178.69134,50675479831.44555,53548594593.3063,54999553147.238335,58398168740.61878,61902964680.67936,64707620982.14665,68243862064.31835,74046192703.61946,79294441224.55598,84729365846.87862,93720069608.4476,99670163514.06416,103179129161.63055,100318390152.05217,103067338592.48563,106468535730.8605,107005253838.91504,109538059054.25748,111195201898.3076,110396880191.48999,110056431927.49652,116493567539.51012,121170897434.57382,124748508838.4288,116625168487.9017,127612745939.22551
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,2929974143.9932065,2975140410.934416,3033506265.612256,3102290163.198195,3192208984.802858,3314581098.7493386,3472752753.3431826,3654698613.786856,3806293422.873145,3810337222.5306473,3859303360.6178446,3963622285.2027073,3845480707.153923,3850850783.3414626,3819089816.262138,3826457855.9985332,3824582003.5739746,3940295041.5658746,3947007783.104702,3882142806.182385,3204496824.258863,
Cayman Islands,,,,,,,,,,,,,,,,,3626239493.7196894,3842023324.0919003,3901715952.437665,3643981086.6024294,3587627593.454203,3704981270.375592,3702634776.3181977,3742217002.0688305,3837526342.9576263,3964557969.819687,4169236840.8779006,4421090322.601358,4719877421.705077,4990376934.488739,4763452230.589873,
Cyprus,7736490739.028353,8057266605.305626,9015527546.232294,9293830793.322062,10052338650.490309,11121376992.138624,11450723347.385674,11926643020.742718,12737886795.011427,13501992603.847866,14774715455.464758,16038618589.556623,16716334243.909527,17440262373.15643,18887334890.223698,20504199481.038773,22540525467.79475,25224255833.663143,27398578346.48822,27380168962.40711,27722989190.31629,28345889454.55755,27503272837.624874,26181475628.18886,25643516530.172237,26968662454.41709,30417035705.351856,32909236997.953804,35289195643.84081,37340859737.658165,35317532449.64451,38301478414.0452
